Name,Twitter_username,Occupation,Twitter_id
Elon Musk,@elonmusk,Business Man,44196397
Barack Obama,@barackobama,Politician,813286
Taylor Swift,@taylorswift13,Famous Artist,17919972
Cristiano Ronaldo,@critiano,Athlete,155659213
Oprah Winfrey,@Oprah,Famous Artist,19397785
Bill Gates,@BillGates,Business Man,50393960
Jeff Bezos,@JeffBezos,Business Man,15506669
Kim Ki Nam,@Samsung,Business Man,2381578122
Jack Ma,@JackMa,Business Man,1239332857807384576
Tim Cook,@tim_cook,Business Man,1636590253
Beyonce,@Beyonce,Famous Artist,31239408
Richard Branson,@richardbranson,Business Man,8161232
Paul Allen,@PaulGAllen,Business Man,24167314
Larry Ellison,@larryellison,Business Man,595822244
Eric Lefkofsky,@lefkofsky,Business Man,15716974
Warren Buffett,@WarrenBuffett,Business Man,1364930179
Jan Koum,@jankoum,Business Man,36783881
Eric Schmidt,@ericschmidt,Business Man,93957809
Pierre Omidyar,@pierre,Business Man,749963
Carl Icahn,@Carl_C_Icahn,Business Man,1534167900
Mark Cuban,@mcuban,Business Man,16228398
Michael Bloomberg,@MikeBloomberg,Business Man,16581604
George Soros, @georgesoros,Business Man,23125257
Mario Gabelli,@MarioGabelli,Business Man,174385219
David Einhorn,@davidein,Business Man,52849759
Alicia Keys,@aliciakeys,Famous Artist,35094637
Lady Gaga,@ladygaga,Famous Artist,14230524
Madona,@Madonna,Famous Artist,512700138
Adele,@Adele,Famous Artist,184910040
Justin Bieber,@justinbieber,Famous Artist,27260086
Selena Gomez,@selenagomez,Famous Artist,23375688
Wayne Rooney,@WayneRooney,Athlete,285332860
Justin Timberlake,@jtimberlake,Famous Artist,26565946
Katy Perry,@katyperry,Famous Artist,21447363
Rihanna,@rihanna,Famous Artist,79293791
Gerard Pique,@3gerardpique,Athlete,224223563
Bruno Mars,@BrunoMars,Famous Artist,100220864
Ronaldo Nazário,@Ronaldo,Athlete,2717886660
Novak Djokovic,@DjokerNole,Athlete,59925559
Kevin Durant,@KDTrey5,Athlete,35936474
Paul Pogba,@paulpogba,Athlete,2491702663
Sachin Tendulkar,@sachin_rt,Athlete,135421739
Joe Biden,@JoeBiden,Politician,939091
President of Russia,@KremlinRussia_E,Politician,205622130
Kamala Harris,@KamalaHarris,Politician,30354991
Nancy Pelosi,@TeamPelosi,Politician,2461810448
George W. Bush,@TheBushCenter,Politician,148376661
LeBron James,@KingJames,Athlete,23083404
Michael Dell,@MichaelDell,Business Man,58560480
CNBC,@CNBC,News,20402945
Stocktwits,@Stocktwits,News,14886375
NYT Business,@nytimesbusiness,News,1754641
Nathan Michaud,@InvestorsLive,Streamer,15971805
Quinten Francois,@QuintenFrancois,Streamer,899748062507278336
Stephen L. Miller,@redsteeze,Streamer,393469195
Yahoo Finance,@YahooFinance,News,19546277
tastytrade,@tastytrade,Streamer,238174807
